Values for Sample D
The total number of words = 2956880
The total number of distinct = 57794
The popular treshold words = 2890
The common treshold 1 words = 27452
The common treshold 2 words = 30342
____________________________________________________________________________________________________________
Table for the top values
+---------------+------+----+
|           Word| Count|Rank|
|        curious|   278| 966|
|           alas|   278| 967|
|         system|   278| 968|
|       presence|   278| 969|
|           moon|   278| 970|
|          fault|   277| 971|
|        instant|   277| 972|
|     impossible|   277| 973|
|           fish|   277| 974|
|         remain|   277| 975|
|         slowly|   276| 976|
|        perfect|   276| 977|
|          mercy|   276| 978|
|           cast|   276| 979|
|          loves|   276| 980|
|         period|   276| 981|
|            bit|   276| 982|
|         shadow|   275| 983|
|     parliament|   275| 984|
|              p|   275| 985|
|         palace|   274| 986|
|           wide|   274| 987|
|          stone|   273| 988|
|       florence|   273| 989|
|         seeing|   272| 990|
|         praise|   272| 991|
|         wisdom|   272| 992|
|        shallow|   272| 993|
|         whales|   272| 994|
|           step|   271| 995|
|           deck|   271| 996|
|      happiness|   271| 997|
|            car|   271| 998|
|        getting|   271| 999|
|         placed|   269|1000|
|       property|   269|1001|
|         spring|   268|1002|
|            due|   268|1003|
|         strike|   268|1004|
|          faces|   267|1005|
|       distance|   267|1006|
|        passing|   267|1007|
|          trade|   267|1008|
|      excellent|   266|1009|
|         health|   266|1010|
|           copy|   265|1011|
|           mary|   265|1012|
|           hell|   265|1013|
|        villain|   265|1014|
|       rosalind|   265|1015|
|          judge|   264|1016|
|          class|   264|1017|
|      attention|   264|1018|
|            sin|   264|1019|
|      questions|   264|1020|
|        outside|   263|1021|
|       happened|   263|1022|
|          roman|   263|1023|
|         length|   263|1024|
|        license|   262|1025|
|           grew|   262|1026|
|         walked|   262|1027|
|     considered|   262|1028|
|         favour|   262|1029|
|        objects|   262|1030|
|         horses|   261|1031|
|        promise|   261|1032|
|           pain|   261|1033|
|       patience|   260|1034|
|              j|   260|1035|
|           nine|   260|1036|
|     buckingham|   260|1037|
|     difference|   259|1038|
|           sing|   259|1039|
|           deal|   259|1040|
|     confidence|   259|1041|
|          equal|   259|1042|
|       creature|   259|1043|
|             ha|   259|1044|
|         worked|   258|1045|
|        drawing|   258|1046|
|        stopped|   258|1047|
|         behold|   258|1048|
|      interests|   258|1049|
|      dangerous|   258|1050|
|           maid|   257|1051|
|     afterwards|   257|1052|
|          piece|   257|1053|
|         bottom|   257|1054|
|        courage|   257|1055|
|          pride|   256|1056|
|          greek|   256|1057|
|          fancy|   256|1058|
|         middle|   255|1059|
|          teach|   255|1060|
|         easily|   255|1061|
|          lower|   255|1062|
|          trees|   254|1063|
|           nose|   254|1064|
|          brave|   254|1065|
|          blind|   254|1066|
|         notice|   253|1067|
|          board|   253|1068|
|           bold|   253|1069|
