Values for Sample G 
The total number of words = 2104828
The total number of distinct = 36986
The popular treshold words = 1850
The common treshold 1 words = 17568
The common treshold 2 words = 19418
____________________________________________________________________________________________________________
Table for the top values
+--------------+-----+----+
|          Word|Count|Rank|
|       silence|  306| 675|
|           ear|  306| 676|
|       quickly|  306| 677|
|        castle|  306| 678|
|          wise|  305| 679|
|          mark|  304| 680|
|         write|  304| 681|
|           ten|  304| 682|
|            de|  304| 683|
|          holy|  304| 684|
|           pip|  303| 685|
|           eat|  302| 686|
|         large|  302| 687|
|       majesty|  302| 688|
|        sorrow|  302| 689|
|         lives|  301| 690|
|       greater|  300| 691|
|        family|  299| 692|
|          draw|  299| 693|
|         romeo|  299| 694|
|          feet|  298| 695|
|          deal|  298| 696|
|           met|  298| 697|
|        errant|  297| 698|
|          jane|  296| 699|
|          city|  295| 700|
|         watch|  294| 701|
|          fine|  293| 702|
|          form|  292| 703|
|       promise|  292| 704|
|       hearing|  292| 705|
|        object|  292| 706|
|     happiness|  292| 707|
|             e|  292| 708|
|         visit|  290| 709|
|        dinner|  289| 710|
|       herbert|  289| 711|
|      servants|  289| 712|
|     presently|  288| 713|
|         heavy|  288| 714|
|         loves|  288| 715|
|        praise|  287| 716|
|          foul|  287| 717|
|            oh|  287| 718|
|           sad|  286| 719|
|       macbeth|  286| 720|
|       claudio|  286| 721|
|        except|  284| 722|
|          road|  284| 723|
|     affection|  284| 724|
|          kill|  284| 725|
|     following|  283| 726|
|        office|  283| 727|
|          year|  283| 728|
|       villain|  283| 729|
|     continued|  283| 730|
|          ford|  283| 731|
|    everything|  282| 732|
|           try|  282| 733|
|         enemy|  282| 734|
|         sorry|  280| 735|
|      patience|  280| 736|
|            ii|  279| 737|
|         gives|  278| 738|
|        favour|  277| 739|
|     woodhouse|  277| 740|
|       valiant|  277| 741|
|          note|  276| 742|
|       forward|  276| 743|
|           ass|  276| 744|
|      dulcinea|  276| 745|
|      occasion|  275| 746|
|      appeared|  275| 747|
|          ears|  275| 748|
|        danger|  273| 749|
|            la|  273| 750|
|         fault|  272| 751|
|    electronic|  272| 752|
|          dark|  271| 753|
|        street|  271| 754|
|       command|  271| 755|
|         green|  270| 756|
|         haste|  270| 757|
|        thanks|  270| 758|
|        palace|  270| 759|
|        window|  269| 760|
|         field|  269| 761|
|        appear|  269| 762|
|         panza|  269| 763|
|          idea|  268| 764|
|         carry|  268| 765|
|         trust|  268| 766|
|      isabella|  268| 767|
|       besides|  267| 768|
|    afterwards|  266| 769|
|            ah|  266| 770|
|         nurse|  266| 771|
|     sometimes|  265| 772|
|        pocket|  265| 773|
|     cleopatra|  265| 774|
|        wanted|  264| 775|
|          lead|  264| 776|
|       natural|  264| 777|
|          duty|  264| 778|
|         books|  264| 779|
|           red|  263| 780|
|          alas|  263| 781|
|      margaret|  263| 782|
|      rosalind|  263| 783|
|          loss|  262| 784|
|     certainly|  262| 785|
|       respect|  262| 786|
|         royal|  262| 787|
|   immediately|  260| 788|
|     knowledge|  260| 789|
|       carried|  260| 790|
|         drink|  260| 791|
|        garden|  260| 792|
|       shallow|  260| 793|
|         fancy|  258| 794|
|    particular|  257| 795|
|     different|  256| 796|
|        squire|  256| 797|
|       village|  255| 798|
|          maid|  255| 799|
|      soldiers|  254| 800|
|          paid|  254| 801|
|    buckingham|  254| 802|
|          pain|  253| 803|
|      happened|  253| 804|
|         force|  253| 805|
|       wemmick|  253| 806|
|          easy|  252| 807|
|        struck|  252| 808|
|        public|  252| 809|
|        french|  252| 810|
|          lest|  251| 811|
|         party|  250| 812|
|        tender|  250| 813|
|          wear|  249| 814|
|       trouble|  249| 815|
|   countenance|  249| 816|
|       history|  249| 817|
|      strength|  248| 818|
|          fast|  248| 819|
|         quiet|  248| 820|
|      followed|  248| 821|
|          evil|  248| 822|
|       suffolk|  248| 823|
|       instant|  247| 824|
|          ring|  247| 825|
|         pedro|  247| 826|
|          sick|  246| 827|
|           hot|  246| 828|
|       written|  246| 829|
|         mercy|  245| 830|
|           led|  244| 831|
|    appearance|  244| 832|
|    foundation|  244| 833|
|        lucius|  244| 834|
|        bloody|  243| 835|
